"sex","agegr","edu","socprof","marital","depress","trust","trustfam","trustneigh","income"
"FEMALE","65+","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","WIDOWED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000
"FEMALE","35-44","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",2000
"MALE","65+","VOCATIONAL/GRAMMAR","RETIRED","WIDOWED",7,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",700
"MALE","65+","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","MARRIED",11,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",800
"FEMALE","45-59","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","WIDOWED",8,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",2100
"MALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES",NA,2800
"MALE","35-44","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",1300
"FEMALE","35-44","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","SINGLE",NA,"MOST PEOPLE CAN BE TRUSTED","YES","YES",2000
"FEMALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES",1600
"MALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",1350
"FEMALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PUBLIC SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",900
"FEMALE","35-44","POST-SECONDARY OR HIGHER","SELF-EMPLOYED","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1900
"FEMALE","25-34","SECONDARY","OTHER ECONOMICALLY INACTIVE","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"MALE","65+","POST-SECONDARY OR HIGHER","RETIRED","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",2700
"MALE","65+","SECONDARY","RETIRED","WIDOWED",NA,"ONE CAN`T BE TOO CAREFUL","YES","YES",1500
"MALE","65+","SECONDARY","RETIRED","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",970
"FEMALE","25-34","SECONDARY","OTHER ECONOMICALLY INACTIVE","MARRIED",0,"IT`S DIFFICULT TO TELL","YES","YES",NA
"FEMALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",14,"ONE CAN`T BE TOO CAREFUL","NO","NO",NA
"MALE","45-59","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","SINGLE",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","25-34","POST-SECONDARY OR HIGHER","SELF-EMPLOYED","MARRIED",7,"ONE CAN`T BE TOO CAREFUL","YES","NO",1350
"MALE","65+","SECONDARY","RETIRED","MARRIED",12,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1700
"MALE","45-59","SECONDARY","EMPLOYED IN PUBLIC SECTOR","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",5000
"FEMALE","35-44","SECONDARY","UNEMPLOYED","SINGLE",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",510
"MALE","16-24","SECONDARY","EMPLOYED IN PRIVATE SECTOR","SINGLE",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",2000
"FEMALE","60-64","PRIMARY/NO EDUCATION","RETIRED","MARRIED",6,"IT`S DIFFICULT TO TELL","YES","NO",1000
"FEMALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1200
"MALE","45-59","VOCATIONAL/GRAMMAR","FARMER","MARRIED",11,"ONE CAN`T BE TOO CAREFUL","YES","YES",500
"FEMALE","35-44","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","NO","NO",NA
"FEMALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","NO",700
"MALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PUBLIC SECTOR","MARRIED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1500
"FEMALE","45-59","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","MARRIED",13,"IT`S DIFFICULT TO TELL","YES","YES",3000
"FEMALE","45-59","VOCATIONAL/GRAMMAR","UNEMPLOYED","SINGLE",2,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",240
"FEMALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA
"MALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",1,"IT`S DIFFICULT TO TELL","YES","YES",NA
"FEMALE","65+","SECONDARY","RETIRED","WIDOWED",9,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",1900
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","SINGLE",16,"ONE CAN`T BE TOO CAREFUL","YES","YES",950
"FEMALE","65+","POST-SECONDARY OR HIGHER","RETIRED","MARRIED",9,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",1200
"FEMALE","35-44","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","WIDOWED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",15,"ONE CAN`T BE TOO CAREFUL","YES","YES",950
"MALE","25-34","SECONDARY","EMPLOYED IN PRIVATE SECTOR","SINGLE",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",1100
"MALE","45-59","SECONDARY","SELF-EMPLOYED","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","NO",1200
"FEMALE","45-59","SECONDARY","EMPLOYED IN PUBLIC SECTOR","MARRIED",NA,"IT`S DIFFICULT TO TELL","YES","YES",2200
"FEMALE","60-64","POST-SECONDARY OR HIGHER","RETIRED","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",3000
"MALE","45-59","VOCATIONAL/GRAMMAR","FARMER","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",303
"FEMALE","35-44","SECONDARY","EMPLOYED IN PUBLIC SECTOR","MARRIED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES",3000
"MALE","45-59","SECONDARY","FARMER","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",1800
"MALE","25-34","SECONDARY","EMPLOYED IN PRIVATE SECTOR","SINGLE",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",2490
"FEMALE","45-59","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO",NA
"MALE","65+","SECONDARY","RETIRED","WIDOWED",18,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",1560
"MALE","16-24","SECONDARY","EMPLOYED IN PRIVATE SECTOR","SINGLE",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"MALE","45-59","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","MARRIED",8,"ONE CAN`T BE TOO CAREFUL","YES","NO",800
"FEMALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","MARRIED",4,"MOST PEOPLE CAN BE TRUSTED","YES","YES",NA
"FEMALE","60-64","SECONDARY","RETIRED","MARRIED",9,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1300
"FEMALE","45-59","POST-SECONDARY OR HIGHER","LONG-TERM SICK/DISABLED","MARRIED",4,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1000
"FEMALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",NA
"MALE","60-64","SECONDARY","RETIRED","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","NO",2800
"MALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",NA
"MALE","60-64","SECONDARY","RETIRED","MARRIED",10,NA,"YES","YES",NA
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",15,"ONE CAN`T BE TOO CAREFUL","YES","YES",890
"MALE","16-24","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","SINGLE",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1000
"MALE","45-59","SECONDARY","FARMER","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO",2000
"MALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",0,"IT`S DIFFICULT TO TELL","YES","NO",NA
"FEMALE","45-59","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","WIDOWED",4,"ONE CAN`T BE TOO CAREFUL","YES","NO",1800
"MALE","35-44","PRIMARY/NO EDUCATION","FARMER","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA
"FEMALE","60-64","PRIMARY/NO EDUCATION","RETIRED","MARRIED",14,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",909
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES",739
"MALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PUBLIC SECTOR","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA
"FEMALE","16-24","PRIMARY/NO EDUCATION","EMPLOYED IN PRIVATE SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","NO",300
"FEMALE","60-64","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",2,"MOST PEOPLE CAN BE TRUSTED","YES","NO OPINION",1500
"MALE","25-34","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","DIVORCED",0,"MOST PEOPLE CAN BE TRUSTED","YES","NO OPINION",1500
"MALE","65+","SECONDARY","RETIRED","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"MALE","60-64","PRIMARY/NO EDUCATION","RETIRED","SINGLE",8,NA,"YES","YES",1200
"FEMALE","45-59","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",400
"MALE","45-59","SECONDARY","EMPLOYED IN PUBLIC SECTOR","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",2000
"MALE","45-59","VOCATIONAL/GRAMMAR","UNEMPLOYED","SINGLE",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"MALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",12,"ONE CAN`T BE TOO CAREFUL","YES","YES",1300
"MALE","25-34","VOCATIONAL/GRAMMAR","EMPLOYED IN PUBLIC SECTOR","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",2420
"FEMALE","45-59","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",2300
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES",860
"FEMALE","65+","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","WIDOWED",7,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1450
"MALE","45-59","VOCATIONAL/GRAMMAR","FARMER","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",2000
"MALE","45-59","SECONDARY","RETIRED","MARRIED",0,"IT`S DIFFICULT TO TELL","YES","NO",500
"FEMALE","65+","SECONDARY","RETIRED","WIDOWED",10,"ONE CAN`T BE TOO CAREFUL","YES","YES",1600
"MALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",5,"IT`S DIFFICULT TO TELL","YES","YES",1500
"FEMALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",3,"MOST PEOPLE CAN BE TRUSTED","YES","YES",714
"FEMALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","SINGLE",2,"ONE CAN`T BE TOO CAREFUL","YES","NO",1800
"FEMALE","65+","SECONDARY","RETIRED","MARRIED",21,"IT`S DIFFICULT TO TELL","YES","NO OPINION",NA
"FEMALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES",NA,1000
"FEMALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",0,"IT`S DIFFICULT TO TELL","YES","YES",NA
"FEMALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",1800
"FEMALE","65+","SECONDARY","RETIRED","WIDOWED",6,"ONE CAN`T BE TOO CAREFUL","YES","NO",1500
"MALE","16-24","PRIMARY/NO EDUCATION","PUPIL OR STUDENT","SINGLE",2,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",150
"MALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1000
"FEMALE","65+","SECONDARY","RETIRED","WIDOWED",15,"ONE CAN`T BE TOO CAREFUL","YES","YES",2200
"FEMALE","60-64","POST-SECONDARY OR HIGHER","RETIRED","DIVORCED",10,"ONE CAN`T BE TOO CAREFUL","YES","NO",3000
"MALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",3,"ONE CAN`T BE TOO CAREFUL","YES","NO",NA
"MALE","25-34","POST-SECONDARY OR HIGHER","SELF-EMPLOYED","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","NO",760
"MALE","45-59","SECONDARY","EMPLOYED IN PUBLIC SECTOR","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1900
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES",1440
"FEMALE","35-44","POST-SECONDARY OR HIGHER","SELF-EMPLOYED","MARRIED",0,"IT`S DIFFICULT TO TELL","YES","YES",3000
"MALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES",1500
"MALE","60-64","POST-SECONDARY OR HIGHER","OTHER ECONOMICALLY INACTIVE","MARRIED",10,"ONE CAN`T BE TOO CAREFUL","YES","NO",NA
"FEMALE","25-34","SECONDARY","PUPIL OR STUDENT","SINGLE",5,"IT`S DIFFICULT TO TELL","YES","YES",NA
"MALE","45-59","VOCATIONAL/GRAMMAR","FARMER","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","65+","POST-SECONDARY OR HIGHER","RETIRED","SINGLE",20,"ONE CAN`T BE TOO CAREFUL","NO","NO",1400
"FEMALE","60-64","POST-SECONDARY OR HIGHER","RETIRED","MARRIED",8,"ONE CAN`T BE TOO CAREFUL","YES","NO",1500
"MALE","16-24","PRIMARY/NO EDUCATION","PUPIL OR STUDENT","SINGLE",0,"MOST PEOPLE CAN BE TRUSTED","YES","NO OPINION",NA
"MALE","65+","POST-SECONDARY OR HIGHER","RETIRED","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",2900
"MALE","45-59","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",4,NA,"YES","YES",1500
"MALE","65+","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","MARRIED",12,"ONE CAN`T BE TOO CAREFUL","YES","YES",700
"MALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",1500
"MALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PUBLIC SECTOR","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",1500
"FEMALE","35-44","POST-SECONDARY OR HIGHER","SELF-EMPLOYED","MARRIED",1,"MOST PEOPLE CAN BE TRUSTED","YES","YES",2300
"MALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",0,"MOST PEOPLE CAN BE TRUSTED","YES","NO",2600
"MALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",4,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA
"FEMALE","45-59","VOCATIONAL/GRAMMAR","UNEMPLOYED","SINGLE",2,"ONE CAN`T BE TOO CAREFUL","NO","NO",2000
"MALE","45-59","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","MARRIED",11,"ONE CAN`T BE TOO CAREFUL","YES","YES",840
"FEMALE","45-59","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",8,"MOST PEOPLE CAN BE TRUSTED","YES","YES",5200
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","SINGLE",16,"ONE CAN`T BE TOO CAREFUL","NO OPINION","YES",850
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",12,"ONE CAN`T BE TOO CAREFUL","YES","YES",2700
"FEMALE","25-34","SECONDARY","EMPLOYED IN PRIVATE SECTOR","SINGLE",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",3500
"MALE","45-59","VOCATIONAL/GRAMMAR","FARMER","MARRIED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES",900
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",11,"ONE CAN`T BE TOO CAREFUL","YES","YES",870
"MALE","45-59","VOCATIONAL/GRAMMAR","SELF-EMPLOYED","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","NO OPINION","YES",1700
"FEMALE","65+","SECONDARY","RETIRED","DIVORCED",4,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1448
"MALE","60-64","PRIMARY/NO EDUCATION","UNEMPLOYED","MARRIED",14,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION",NA
"MALE","35-44","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1900
"MALE","35-44","SECONDARY","OTHER ECONOMICALLY INACTIVE","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","NO",NA
"MALE","45-59","VOCATIONAL/GRAMMAR","UNEMPLOYED","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","16-24","VOCATIONAL/GRAMMAR","UNEMPLOYED","SINGLE",6,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA
"MALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","NO","NO",4000
"MALE","45-59","POST-SECONDARY OR HIGHER","LONG-TERM SICK/DISABLED","MARRIED",9,"ONE CAN`T BE TOO CAREFUL","YES","YES",1100
"MALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",1500
"FEMALE","45-59","PRIMARY/NO EDUCATION","OTHER ECONOMICALLY INACTIVE","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","NO","NO",NA
"FEMALE","16-24","SECONDARY","PUPIL OR STUDENT","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",900
"FEMALE","16-24","SECONDARY","OTHER ECONOMICALLY INACTIVE","SINGLE",6,"ONE CAN`T BE TOO CAREFUL","NO","NO",300
"FEMALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",6,"ONE CAN`T BE TOO CAREFUL","YES","NO",1200
"MALE","35-44","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",3500
"MALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",1,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1500
"FEMALE","60-64","SECONDARY","LONG-TERM SICK/DISABLED","WIDOWED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",1500
"MALE","45-59","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","MARRIED",4,"MOST PEOPLE CAN BE TRUSTED","YES","YES",800
"FEMALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"MALE","25-34","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",525
"FEMALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO",NA
"FEMALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",3,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA
"FEMALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",4,"IT`S DIFFICULT TO TELL","NO OPINION","NO",NA
"FEMALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"MALE","45-59","VOCATIONAL/GRAMMAR","SELF-EMPLOYED","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1700
"FEMALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",3000
"MALE","35-44","PRIMARY/NO EDUCATION","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1250
"FEMALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",4,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",1450
"FEMALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",1800
"MALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","SINGLE",1,"IT`S DIFFICULT TO TELL","YES","YES",1800
"MALE","45-59","SECONDARY","SELF-EMPLOYED","MARRIED",1,"MOST PEOPLE CAN BE TRUSTED","YES","YES",5000
"FEMALE","45-59","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",5,"MOST PEOPLE CAN BE TRUSTED","YES","YES",800
"FEMALE","45-59","SECONDARY","RETIRED","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",1330
"MALE","45-59","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",1500
"FEMALE","35-44","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO",1800
"FEMALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1750
"MALE","35-44","PRIMARY/NO EDUCATION","FARMER","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"MALE","65+","POST-SECONDARY OR HIGHER","RETIRED","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PUBLIC SECTOR","MARRIED",4,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION",NA
"FEMALE","45-59","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","SINGLE",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",3000
"MALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",12,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1300
"FEMALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA
"FEMALE","60-64","SECONDARY","RETIRED","MARRIED",13,"ONE CAN`T BE TOO CAREFUL","YES","NO",900
"FEMALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","WIDOWED",14,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1500
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",9,NA,"YES","YES",855
"MALE","25-34","POST-SECONDARY OR HIGHER","UNEMPLOYED","SINGLE",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",NA
"FEMALE","45-59","SECONDARY","EMPLOYED IN PUBLIC SECTOR","DE FACTO SEPARATED",19,"ONE CAN`T BE TOO CAREFUL","YES","YES",3900
"FEMALE","45-59","SECONDARY","UNEMPLOYED","MARRIED",4,"IT`S DIFFICULT TO TELL","YES","YES",485
"FEMALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","NO",NA
"FEMALE","25-34","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","DIVORCED",0,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",444
"FEMALE","60-64","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000
"FEMALE","45-59","SECONDARY","UNEMPLOYED","MARRIED",4,"IT`S DIFFICULT TO TELL","YES","YES",NA
"FEMALE","45-59","VOCATIONAL/GRAMMAR","FARMER","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",NA
"MALE","65+","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","MARRIED",12,"ONE CAN`T BE TOO CAREFUL","YES","YES",158
"FEMALE","35-44","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","DIVORCED",4,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",4500
"MALE","60-64","VOCATIONAL/GRAMMAR","RETIRED","DIVORCED",7,"ONE CAN`T BE TOO CAREFUL","YES","NO",1000
"MALE","45-59","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",3000
"FEMALE","25-34","VOCATIONAL/GRAMMAR","UNEMPLOYED","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","NO","NO",1100
"FEMALE","65+","SECONDARY","RETIRED","MARRIED",6,"IT`S DIFFICULT TO TELL","YES","YES",2100
